Unnamed: 0,企業名,売上高(百万円),業種,従業員数,備考,営業日,無料プラン登録日,有料プラン登録日,解約日,画像,似ていると感じる企業番号,真逆だと感じる企業番号
19,株式会社テックノート,400,IT,80,AI開発中,2024/1/24,2024/1/24,,,technote.png,"31,42,0","7,52,98,104"
20,株式会社フューチャー,700,IT,130,IoT事業展開,2024/1/25,2024/2/18,2024/4/20,2024/7/10,future.png,"43,89,3","6,23,84"
21,株式会社ブリッジ,350,物流,60,海外提携先あり,2024/1/26,2024/2/20,,,bridge.png,"27,33,84","39,43,75"
22,株式会社エース,500,製造,100,新工場建設中,2024/1/27,2024/2/22,2024/5/1,,ace.png,"45,91,106","32,35,70,108"
23,株式会社ドリーム,250,教育,50,留学支援,2024/1/28,2024/2/25,,,dream.png,"46,14,92","43,7,2"
24,株式会社エンジン,800,自動車,170,EV開発,2024/1/29,2024/1/29,,,engine.png,"93,47,36","29,75,98"
25,株式会社シード,150,農業,40,新規作物導入,2024/1/30,2024/2/28,,,seed.png,"12,109,94","39,34,103,7,26"
26,株式会社リンクス,600,IT,120,クラウド事業強化,2024/1/31,2024/3/1,2024/5/10,,links.png,"0,72,95","25,40,35,96,104"
27,株式会社アース,300,環境,55,リサイクル事業,2024/2/1,2024/2/1,,,earth.png,"33,50,4,96","41,80,103"
28,株式会社ビジョン,1000,広告,210,CM制作実績多数,2024/2/2,2024/3/5,,,vision.png,"51,97,82","29,10,58"
29,株式会社サポート,200,サービス,45,サポート体制充実,2024/2/3,2024/3/7,2024/5/20,2024/7/25,support.png,"52,12,75,98","39,47,85"
30,株式会社グローバル,900,貿易,160,海外拠点多数,2024/2/4,2024/3/10,,,global.png,"30,99,53","10,35,104"
31,株式会社エデュケーション,400,教育,70,教材開発,2024/2/5,2024/3/12,2024/6/1,,education.png,"46,54,106,100","39,55,108"
32,株式会社セーフティ,700,警備,130,大規模イベント対応,2024/2/6,2024/2/6,,2024/8/1,safety.png,"55,101,78,62","54,103,34"
33,株式会社アート,350,デザイン,50,受賞歴あり,2024/2/7,2024/3/15,,,art.png,"56,102,44","34,28,80,103"
34,株式会社エナジー,1200,エネルギー,230,発電所運営,2024/2/8,2024/3/18,2024/6/10,,energy.png,"57,18,103","33,25,73"
35,株式会社フレッシュ,250,食品,60,新商品発売,2024/2/9,2024/2/9,,2024/8/10,fresh.png,"46,58,104,81","54,77,100"
36,株式会社システム,800,IT,150,システム開発受託,2024/2/10,2024/3/20,,,system.png,"93,105,3","25,23,100,109"
37,株式会社リード,500,人材,100,人材派遣,2024/2/11,2024/3/22,2024/6/20,,lead.png,"45,7,60,83","35,50,85"
38,株式会社アクア,300,水産,55,新規漁場開拓,2024/2/12,2024/3/25,,,aqua.png,"27,50,61,73,84,96,107","2,3,9,11,15,20,24,28,30,32,36,39,43,47,51,53,55,59,62,66,70,74,76,78,82,85,89,93,97,99,101,105,108"
39,株式会社クリア,1000,清掃,210,大手契約先あり,2024/2/13,2024/2/13,,2024/8/15,clear.png,"2,28,51,62,74,85,97,108","1,4,6,10,14,19,21,23,25,27,31,33,35,38,42,46,48,50,54,58,61,65,69,71,73,77,79,81,84,88,92,94,96,100,102,104,107"
40,株式会社トータル,200,コンサル,35,経営支援,2024/2/14,2024/3/28,,,total.png,"8,17,63,86,109","0,3,5,7,9,11,13,15,16,18,20,22,24,26,34,36,37,41,43,45,47,49,57,59,60,64,66,68,70,72,80,82,83,87,89,91,93,95,103,105,106"
41,株式会社サン,600,太陽光,90,太陽光発電所運営,2024/2/15,2024/4/1,2024/7/1,,sun.png,"22,45,64,68,87,91","12,17,25,40,48,63,71,86,94,109"
42,株式会社テクノ,400,IT,80,技術力高評価,2024/2/16,2024/2/16,,2024/8/20,techno.png,"19,65,88","2,11,12,16,28,34,39,51,57,62,74,80,85,97,103,108"
43,株式会社フロンティア,700,IT,130,新規事業開発,2024/2/17,2024/4/5,2024/7/10,2024/8/25,frontier.png,"0,3,20,26,36,47,49,59,66,70,72,82,89,93,95,105","4,12,14,17,23,25,27,29,35,38,40,46,48,50,52,58,61,63,69,71,73,75,81,84,86,92,94,96,98,104,107,109"
44,株式会社ブレイン,350,コンサル,60,業界分析強み,2024/2/18,2024/4/7,,,brain.png,"8,67,90","3,9,11,15,16,24,34,36,47,57,59,70,80,82,93,103,105"
45,株式会社エースプロ,500,製造,100,OEM生産,2024/2/19,2024/4/10,2024/8/1,,acepro.png,"1,22,41,64,68,87,91","9,12,17,25,29,34,40,48,52,57,63,71,75,80,86,94,98,103,109"
46,株式会社ドリームズ,250,教育,50,海外研修,2024/2/20,2024/4/12,,,dreams.png,"14,23,69,92","2,3,9,11,15,16,20,24,26,28,30,32,34,36,39,43,47,49,51,53,55,57,59,62,66,70,72,74,76,78,80,82,85,89,93,95,97,99,101,103,105,108"
47,株式会社エンジニア,800,IT,170,技術者多数,2024/2/21,2024/2/21,,2024/9/1,engineer.png,"3,20,36,43,59,66,70,82,89,93,105","1,4,8,10,12,14,17,21,23,25,27,29,35,38,40,44,46,48,50,52,58,61,63,67,69,71,73,75,81,84,86,90,92,94,96,98,104,107,109"
48,株式会社シーズ,150,農業,40,農業ICT導入,2024/2/22,2024/4/15,,,seeds.png,"25,71,94","0,2,3,5,7,9,11,13,15,18,20,22,24,26,28,30,32,36,37,39,41,43,45,47,49,51,53,55,59,60,62,64,66,68,70,72,74,76,78,82,83,85,87,89,91,93,95,97,99,101,105,106,108"
49,株式会社リンク,600,IT,120,ネットワーク構築,2024/2/23,2024/4/18,2024/8/10,,link.png,"0,20,26,43,66,72,89,95","4,12,17,23,25,29,40,46,48,52,63,69,71,75,86,92,94,98,109"
50,株式会社アースプロ,300,環境,55,環境保全活動,2024/2/24,2024/2/24,,2024/9/10,earthpro.png,"4,27,38,61,73,84,96,107","2,3,9,11,15,20,24,28,30,32,36,39,43,47,51,53,55,59,62,66,70,74,76,78,82,85,89,93,97,99,101,105,108"
51,株式会社ビジョンプロ,1000,広告,210,プロモーション強化,2024/2/25,2024/4/20,,,visionpro.png,"2,28,39,62,74,85,97,108","1,4,6,10,14,19,21,23,25,27,31,33,35,38,42,46,48,50,54,58,61,65,69,71,73,77,79,81,84,88,92,94,96,100,102,104,107"
52,株式会社サポートプラス,200,サービス,45,サポート拡充,2024/2/26,2024/4/22,2024/8/20,2024/9/15,supportplus.png,"29,75,98","0,3,7,9,11,13,15,16,20,22,24,26,34,36,37,43,45,47,49,57,59,60,66,68,70,72,80,82,83,89,91,93,95,103,105,106"
53,株式会社グローバルリンク,900,貿易,160,国際物流,2024/2/27,2024/4/25,,,globallink.png,"30,76,99","4,6,10,14,21,23,25,27,31,33,35,38,46,48,50,54,58,61,69,71,73,77,79,81,84,92,94,96,100,102,104,107"
54,株式会社エデュ,400,教育,70,教育ICT,2024/2/28,2024/4/28,2024/9/1,,edu.png,"14,31,77,100","2,9,11,12,16,28,30,34,39,51,53,57,62,74,76,80,85,97,99,103,108"
55,株式会社セーフ,700,警備,130,警備ロボ導入,2024/2/29,2024/2/29,,2024/9/20,safe.png,"32,78,101","4,14,23,25,27,35,38,46,48,50,58,61,69,71,73,81,84,92,94,96,104,107"
56,株式会社アートプロ,350,デザイン,50,デザイン賞受賞,2024/3/1,2024/5/1,,,artpro.png,"33,79,102","2,11,15,16,24,28,30,34,39,51,53,57,62,74,76,80,85,97,99,103,108"
57,株式会社エナジープロ,1200,エネルギー,230,新発電技術,2024/3/2,2024/5/3,2024/9/10,,energypro.png,"16,34,80,103","1,8,10,12,13,14,17,19,21,22,23,29,31,33,35,37,40,42,44,45,46,52,54,58,60,63,65,67,68,69,75,77,79,81,83,86,88,90,91,92,98,100,102,104,106,109"
58,株式会社フレッシュプロ,250,食品,60,新規市場参入,2024/3/3,2024/3/3,,2024/9/25,freshpro.png,"35,81,104","2,3,9,11,15,16,20,28,30,32,34,36,39,43,47,51,53,55,57,59,62,66,70,74,76,78,80,82,85,89,93,97,99,101,103,105,108"
59,株式会社システムズ,800,IT,150,DX推進,2024/3/4,2024/5/5,,,systems.png,"0,3,20,26,36,43,47,49,66,70,72,82,89,93,95,105","4,8,10,12,14,17,21,23,25,27,29,35,38,40,44,46,48,50,52,58,61,63,67,69,71,73,75,81,84,86,90,92,94,96,98,104,107,109"
60,株式会社リードプロ,500,人材,100,人材育成,2024/3/5,2024/5/8,2024/9/20,,leadpro.png,"7,37,83,106","9,12,17,25,29,34,40,48,52,57,63,71,75,80,86,94,98,103,109"
61,株式会社アクアプロ,300,水産,55,水産加工,2024/3/6,2024/5/10,,,aquapro.png,"27,38,50,73,84,96,107","2,3,9,11,15,20,24,28,30,32,36,39,43,47,51,53,55,59,62,66,70,74,76,78,82,85,89,93,97,99,101,105,108"
62,株式会社クリアプロ,1000,清掃,210,清掃ロボ導入,2024/3/7,2024/3/7,,2024/10/1,clearpro.png,"2,28,39,51,74,85,97,108","1,4,6,10,14,19,21,23,25,27,31,33,35,38,42,46,48,50,54,58,61,65,69,71,73,77,79,81,84,88,92,94,96,100,102,104,107"
63,株式会社トータルサポート,200,コンサル,35,経営改善,2024/3/8,2024/5/13,,,totalsupport.png,"8,17,40,86,109","0,3,5,7,9,11,13,15,16,18,20,22,24,26,34,36,37,41,43,45,47,49,57,59,60,64,66,68,70,72,80,82,83,87,89,91,93,95,103,105,106"
64,株式会社サンプロ,600,太陽光,90,新規発電所,2024/3/9,2024/5/15,2024/10/1,,sunpro.png,"22,41,45,68,87,91","12,17,25,40,48,63,71,86,94,109"
65,株式会社テクノプロ,400,IT,80,AI技術,2024/3/10,2024/3/10,,2024/10/10,technopro.png,"19,42,88","2,11,12,16,28,34,39,51,57,62,74,80,85,97,103,108"
66,株式会社フロンティアプロ,700,IT,130,海外展開,2024/3/11,2024/5/18,2024/10/10,2024/10/15,frontierpro.png,"0,3,20,26,36,43,47,49,59,70,72,82,89,93,95,105","4,12,14,17,23,25,27,29,35,38,40,46,48,50,52,58,61,63,69,71,73,75,81,84,86,92,94,96,98,104,107,109"
67,株式会社ブレインズ,350,コンサル,60,人材コンサル,2024/3/12,2024/5/20,,,brains.png,"8,44,90","3,9,11,15,16,24,34,36,47,57,59,70,80,82,93,103,105"
68,株式会社エースリンク,500,製造,100,新製品開発,2024/3/13,2024/5/23,2024/10/20,,acelink.png,"1,22,41,45,64,87,91","9,12,17,25,29,34,40,48,52,57,63,71,75,80,86,94,98,103,109"
69,株式会社ドリームプロ,250,教育,50,教育支援,2024/3/14,2024/5/25,,,dreampro.png,"14,23,46,92","2,3,9,11,15,16,20,24,26,28,30,32,34,36,39,43,47,49,51,53,55,57,59,62,66,70,72,74,76,78,80,82,85,89,93,95,97,99,101,103,105,108"
70,株式会社エンジニアプロ,800,IT,170,IT研修,2024/3/15,2024/3/15,,2024/10/25,engineerpro.png,"3,20,36,43,47,59,66,82,89,93,105","1,4,8,10,12,14,17,21,23,25,27,29,35,38,40,44,46,48,50,52,58,61,63,67,69,71,73,75,81,84,86,90,92,94,96,98,104,107,109"
71,株式会社シーズプロ,150,農業,40,農業支援,2024/3/16,2024/5/28,,,seedspro.png,"25,48,94","0,2,3,5,7,9,11,13,15,18,20,22,24,26,28,30,32,36,37,39,41,43,45,47,49,51,53,55,59,60,62,64,66,68,70,72,74,76,78,82,83,85,87,89,91,93,95,97,99,101,105,106,108"
72,株式会社リンクプロ,600,IT,120,ITコンサル,2024/3/17,2024/6/1,2024/10/30,,linkpro.png,"0,20,26,43,49,66,89,95","4,12,17,23,25,29,40,46,48,52,63,69,71,75,86,92,94,98,109"
73,株式会社アースリンク,300,環境,55,環境技術,2024/3/18,2024/3/18,,2024/11/1,earthlink.png,"4,27,38,50,61,84,96,107","2,3,9,11,15,20,24,28,30,32,36,39,43,47,51,53,55,59,62,66,70,74,76,78,82,85,89,93,97,99,101,105,108"
74,株式会社ビジョンリンク,1000,広告,210,広告代理店,2024/3/19,2024/6/3,,,visionlink.png,"51,97,82","29,10,58"
75,株式会社サポートリンク,200,サービス,45,サポート専門,2024/3/20,2024/6/5,2024/11/10,2024/11/15,supportlink.png,"29,98,97","59,60,66,68,70"
76,株式会社グローバルプロ,900,貿易,160,国際取引,2024/3/21,2024/6/8,,,globalpro.png,"99,53,30,21","87,64,41,92"
77,株式会社エデュリンク,400,教育,70,教育コンサル,2024/3/22,2024/6/10,2024/11/20,,edulink.png,"14,23,46,92","2,99,101,103,105,108"
78,株式会社セーフプロ,700,警備,130,警備強化,2024/3/23,2024/3/23,,2024/11/20,safepro.png,"55,101,62","54,103,34"
79,株式会社アートリンク,350,デザイン,50,デザイン事務所,2024/3/24,2024/6/13,,,artlink.png,"4,52,75,90,109","13,2,66"
80,株式会社エナジーリンク,1200,エネルギー,230,新エネルギー,2024/3/25,2024/6/15,2024/11/30,,energylink.png,"103,57,34,16","100,92,77,69,55"
81,株式会社フレッシュリンク,250,食品,60,食品開発,2024/3/26,2024/3/26,,2024/11/25,freshlink.png,"5,46,58,104,107","54,77,100"
82,株式会社システムリンク,800,IT,150,IT導入支援,2024/3/27,2024/6/18,,,systemlink.png,"105,47,6","11,107,84,22"
83,株式会社リードリンク,500,人材,100,人材紹介,2024/3/28,2024/6/20,2024/12/1,,leadlink.png,"45,7,60,106","35,50,85"
84,株式会社アクアリンク,300,水産,55,水産流通,2024/3/29,2024/6/23,,,aqualink.png,"27,38,73,96,107","89,93,97,99,101,105,108"
85,株式会社クリアリンク,1000,清掃,210,清掃管理,2024/3/30,2024/3/30,,2024/12/5,clearlink.png,"50,107,5","2,66,90"
86,株式会社トータルリンク,200,コンサル,35,経営コンサル,2024/3/31,2024/6/25,,,totallink.png,"67,90,63,44,40","85,72,91,68,45,23"
87,株式会社サンリンク,600,太陽光,90,太陽光設備,2024/4/1,2024/7/1,2024/12/10,,sunlink.png,"22,41,45,68,91","12,17,25,40,48,63"
88,株式会社テクノリンク,400,IT,80,IT教育,2024/4/2,2024/4/2,,2024/12/15,technolink.png,"72,19,44,40","68,45,1,91"
89,株式会社フロンティアリンク,700,IT,130,IT戦略,2024/4/3,2024/7/5,2024/12/20,2024/12/25,frontierlink.png,"82,72,36,26","68,45,22"
90,株式会社ブレインリンク,350,コンサル,60,コンサルティング,2024/4/4,2024/7/7,,,brainlink.png,"86,67,63,44,40","85,72,91,68,45,22"
91,株式会社エースサポート,500,製造,100,製造支援,2024/4/5,2024/7/10,2024/12/30,,acesupport.png,"1,22,41,45,64,87,90","9,12,17,25,29,34"
92,株式会社ドリームリンク,250,教育,50,教育連携,2024/4/6,2024/7/12,,,dreamlink.png,"14,23,46,100","2,3,9,11,15,39,43,47"
93,株式会社エンジニアリンク,800,IT,170,ITサポート,2024/4/7,2024/4/7,,2025/1/1,engineerlink.png,"105,47,36,9","68,45,22"
94,株式会社シーズリンク,150,農業,40,農業コンサル,2024/4/8,2024/7/15,,,seedslink.png,"71,48,25,6","39,34,103,7,26"
95,株式会社リンクサポート,600,IT,120,ITサポート,2024/4/9,2024/7/18,2025/1/10,,linksupport.png,"105,93,89,70","91,68,45,22,1"
96,株式会社アースサポート,300,環境,55,環境サポート,2024/4/10,2024/4/10,,2025/1/15,earthsupport.png,"4,27,38,50,61","2,3,9,11,15,20"
97,株式会社ビジョンサポート,1000,広告,210,広告サポート,2024/4/11,2024/7/20,,,visionsupport.png,"51,82,106","29,10,58"
98,株式会社サポートサポート,200,サービス,45,サポート専門,2024/4/12,2024/7/22,2025/1/20,2025/1/25,supportsupport.png,"29,75,96","59,60,66,68,70"
99,株式会社グローバルサポート,900,貿易,160,貿易サポート,2024/4/13,2024/7/25,,,globalsupport.png,"76,53,30,21","87,64,41,91"
100,株式会社エデュサポート,400,教育,70,教育サポート,2024/4/14,2024/7/28,2025/2/1,,edusupport.png,"14,23,46,92","2,3,9,11,15,16,39"
101,株式会社セーフサポート,700,警備,130,警備サポート,2024/4/15,2024/4/15,,2025/2/5,safesupport.png,"55,78,62","54,103,34"
102,株式会社アートサポート,350,デザイン,50,デザインサポート,2024/4/16,2024/8/1,,,artsupport.png,"4,52,75,90,109","13,2,66"
103,株式会社エナジーサポート,1200,エネルギー,230,エネルギーサポート,2024/4/17,2024/8/3,2025/2/10,,energysupport.png,"80,57,34,16","100,92,77,69,54"
104,株式会社フレッシュサポート,250,食品,60,食品サポート,2024/4/18,2024/4/18,,2025/2/15,freshsupport.png,"5,46,58,81","54,77,100"
105,株式会社システムサポート,800,IT,150,ITサポート,2024/4/19,2024/8/5,,,systems_support.png,"95,93,89,82","91,68,45,22,1"
106,株式会社リードサポート,500,人材,100,人材サポート,2024/4/20,2024/8/8,2025/2/20,,leadsupport.png,"45,7,60,83","35,50,85"
107,株式会社アクアサポート,300,水産,55,水産サポート,2024/4/21,2024/8/10,,,aquasupport.png,"27,38,50,73,96","2,3,9,11,15,20,24"
108,株式会社クリアサポート,1000,清掃,210,清掃サポート,2024/4/22,2024/4/22,,2025/3/1,clearsupport.png,"50,107,4","2,66,89"
109,株式会社トータルサポートリンク,200,コンサル,35,コンサルサポート,2024/4/23,2024/8/13,,,totalsupportlink.png,"72,30,86,67","11,107,84,22"
