,企業名,資本金(百万円),業種,従業員数,備考,営業日,無料プラン登録日,有料プラン登録日,解約日,画像
33,株式会社サポート,200,サービス,45,サポート体制充実,2024/2/3,2024/3/7,2024/5/20,2024/7/25,support.png
34,株式会社グローバル,900,貿易,160,海外拠点多数,2024/2/4,2024/3/10,,,global.png
35,株式会社エデュケーション,400,教育,70,教材開発,2024/2/5,2024/3/12,2024/6/1,,education.png
36,株式会社セーフティ,700,警備,130,大規模イベント対応,2024/2/6,2024/2/6,,2024/8/1,safety.png
37,株式会社アート,350,デザイン,50,受賞歴あり,2024/2/7,2024/3/15,,,art.png
38,株式会社エナジー,1200,エネルギー,230,発電所運営,2024/2/8,2024/3/18,2024/6/10,,energy.png
39,株式会社フレッシュ,250,食品,60,新商品発売,2024/2/9,2024/2/9,,2024/8/10,fresh.png
40,株式会社システム,800,IT,150,システム開発受託,2024/2/10,2024/3/20,,,system.png
41,株式会社リード,500,人材,100,人材派遣,2024/2/11,2024/3/22,2024/6/20,,lead.png
42,株式会社アクア,300,水産,55,新規漁場開拓,2024/2/12,2024/3/25,,,aqua.png
43,株式会社クリア,1000,清掃,210,大手契約先あり,2024/2/13,2024/2/13,,2024/8/15,clear.png
44,株式会社トータル,200,コンサル,35,経営支援,2024/2/14,2024/3/28,,,total.png
45,株式会社サン,600,太陽光,90,太陽光発電所運営,2024/2/15,2024/4/1,2024/7/1,sun.png,
46,株式会社テクノ,400,IT,80,技術力高評価,2024/2/16,2024/2/16,,2024/8/20,techno.png
47,株式会社フロンティア,700,IT,130,新規事業開発,2024/2/17,2024/4/5,2024/7/10,2024/8/25,frontier.png
48,株式会社ブレイン,350,コンサル,60,業界分析強み,2024/2/18,2024/4/7,,,brain.png
49,株式会社エースプロ,500,製造,100,OEM生産,2024/2/19,2024/4/10,2024/8/1,,acepro.png
50,株式会社ドリームズ,250,教育,50,海外研修,2024/2/20,2024/4/12,,,dreams.png
51,株式会社エンジニア,800,IT,170,技術者多数,2024/2/21,2024/2/21,,2024/9/1,engineer.png
52,株式会社シーズ,150,農業,40,農業ICT導入,2024/2/22,2024/4/15,,,seeds.png
53,株式会社リンク,600,IT,120,ネットワーク構築,2024/2/23,2024/4/18,2024/8/10,link.png,
54,株式会社アースプロ,300,環境,55,環境保全活動,2024/2/24,2024/2/24,,2024/9/10,earthpro.png
55,株式会社ビジョンプロ,1000,広告,210,プロモーション強化,2024/2/25,2024/4/20,,,visionpro.png
56,株式会社サポートプラス,200,サービス,45,サポート拡充,2024/2/26,2024/4/22,2024/8/20,2024/9/15,supportplus.png
57,株式会社グローバルリンク,900,貿易,160,国際物流,2024/2/27,2024/4/25,,,globallink.png
58,株式会社エデュ,400,教育,70,教育ICT,2024/2/28,2024/4/28,2024/9/1,,edu.png
59,株式会社セーフ,700,警備,130,警備ロボ導入,2024/2/29,2024/2/29,,2024/9/20,safe.png
60,株式会社アートプロ,350,デザイン,50,デザイン賞受賞,2024/3/1,2024/5/1,,,artpro.png
61,株式会社エナジープロ,1200,エネルギー,230,新発電技術,2024/3/2,2024/5/3,2024/9/10,,energypro.png
62,株式会社フレッシュプロ,250,食品,60,新規市場参入,2024/3/3,2024/3/3,,2024/9/25,freshpro.png
63,株式会社システムズ,800,IT,150,DX推進,2024/3/4,2024/5/5,,,systems.png
64,株式会社リードプロ,500,人材,100,人材育成,2024/3/5,2024/5/8,2024/9/20,,leadpro.png
65,株式会社アクアプロ,300,水産,55,水産加工,2024/3/6,2024/5/10,,,aquapro.png
66,株式会社クリアプロ,1000,清掃,210,清掃ロボ導入,2024/3/7,2024/3/7,,2024/10/1,clearpro.png
67,株式会社トータルサポート,200,コンサル,35,経営改善,2024/3/8,2024/5/13,,,totalsupport.png
68,株式会社サンプロ,600,太陽光,90,新規発電所,2024/3/9,2024/5/15,2024/10/1,sunpro.png,
69,株式会社テクノプロ,400,IT,80,AI技術,2024/3/10,2024/3/10,,2024/10/10,technopro.png
70,株式会社フロンティアプロ,700,IT,130,海外展開,2024/3/11,2024/5/18,2024/10/10,2024/10/15,frontierpro.png
71,株式会社ブレインズ,350,コンサル,60,人材コンサル,2024/3/12,2024/5/20,,,brains.png
72,株式会社エースリンク,500,製造,100,新製品開発,2024/3/13,2024/5/23,2024/10/20,,acelink.png
73,株式会社ドリームプロ,250,教育,50,教育支援,2024/3/14,2024/5/25,,,dreampro.png
74,株式会社エンジニアプロ,800,IT,170,IT研修,2024/3/15,2024/3/15,,2024/10/25,engineerpro.png
75,株式会社シーズプロ,150,農業,40,農業支援,2024/3/16,2024/5/28,,,seedspro.png
76,株式会社リンクプロ,600,IT,120,ITコンサル,2024/3/17,2024/6/1,2024/10/30,linkpro.png,
77,株式会社アースリンク,300,環境,55,環境技術,2024/3/18,2024/3/18,,2024/11/1,earthlink.png
78,株式会社ビジョンリンク,1000,広告,210,広告代理店,2024/3/19,2024/6/3,,,visionlink.png
79,株式会社サポートリンク,200,サービス,45,サポート専門,2024/3/20,2024/6/5,2024/11/10,2024/11/15,supportlink.png
80,株式会社グローバルプロ,900,貿易,160,国際取引,2024/3/21,2024/6/8,,,globalpro.png
81,株式会社エデュリンク,400,教育,70,教育コンサル,2024/3/22,2024/6/10,2024/11/20,,edulink.png
82,株式会社セーフプロ,700,警備,130,警備強化,2024/3/23,2024/3/23,,2024/11/20,safepro.png
83,株式会社アートリンク,350,デザイン,50,デザイン事務所,2024/3/24,2024/6/13,,,artlink.png
84,株式会社エナジーリンク,1200,エネルギー,230,新エネルギー,2024/3/25,2024/6/15,2024/11/30,,energylink.png
85,株式会社フレッシュリンク,250,食品,60,食品開発,2024/3/26,2024/3/26,,2024/11/25,freshlink.png
86,株式会社システムリンク,800,IT,150,IT導入支援,2024/3/27,2024/6/18,,,systemlink.png
87,株式会社リードリンク,500,人材,100,人材紹介,2024/3/28,2024/6/20,2024/12/1,,leadlink.png
88,株式会社アクアリンク,300,水産,55,水産流通,2024/3/29,2024/6/23,,,aqualink.png
89,株式会社クリアリンク,1000,清掃,210,清掃管理,2024/3/30,2024/3/30,,2024/12/5,clearlink.png
90,株式会社トータルリンク,200,コンサル,35,経営コンサル,2024/3/31,2024/6/25,,,totallink.png
91,株式会社サンリンク,600,太陽光,90,太陽光設備,2024/4/1,2024/7/1,2024/12/10,sunlink.png,
92,株式会社テクノリンク,400,IT,80,IT教育,2024/4/2,2024/4/2,,2024/12/15,technolink.png
93,株式会社フロンティアリンク,700,IT,130,IT戦略,2024/4/3,2024/7/5,2024/12/20,2024/12/25,frontierlink.png
94,株式会社ブレインリンク,350,コンサル,60,コンサルティング,2024/4/4,2024/7/7,,,brainlink.png
95,株式会社エースサポート,500,製造,100,製造支援,2024/4/5,2024/7/10,2024/12/30,,acesupport.png
96,株式会社ドリームリンク,250,教育,50,教育連携,2024/4/6,2024/7/12,,,dreamlink.png
97,株式会社エンジニアリンク,800,IT,170,ITサポート,2024/4/7,2024/4/7,,2025/1/1,engineerlink.png
98,株式会社シーズリンク,150,農業,40,農業コンサル,2024/4/8,2024/7/15,,,seedslink.png
99,株式会社リンクサポート,600,IT,120,ITサポート,2024/4/9,2024/7/18,2025/1/10,linksupport.png,
100,株式会社アースサポート,300,環境,55,環境サポート,2024/4/10,2024/4/10,,2025/1/15,earthsupport.png
101,株式会社ビジョンサポート,1000,広告,210,広告サポート,2024/4/11,2024/7/20,,,visionsupport.png
102,株式会社サポートサポート,200,サービス,45,サポート専門,2024/4/12,2024/7/22,2025/1/20,2025/1/25,supportsupport.png
103,株式会社グローバルサポート,900,貿易,160,貿易サポート,2024/4/13,2024/7/25,,,globalsupport.png
104,株式会社エデュサポート,400,教育,70,教育サポート,2024/4/14,2024/7/28,2025/2/1,,edusupport.png
105,株式会社セーフサポート,700,警備,130,警備サポート,2024/4/15,2024/4/15,,2025/2/5,safesupport.png
106,株式会社アートサポート,350,デザイン,50,デザインサポート,2024/4/16,2024/8/1,,,artsupport.png
107,株式会社エナジーサポート,1200,エネルギー,230,エネルギーサポート,2024/4/17,2024/8/3,2025/2/10,,energysupport.png
108,株式会社フレッシュサポート,250,食品,60,食品サポート,2024/4/18,2024/4/18,,2025/2/15,freshsupport.png
109,株式会社システムサポート,800,IT,150,ITサポート,2024/4/19,2024/8/5,,,systems_support.png
110,株式会社リードサポート,500,人材,100,人材サポート,2024/4/20,2024/8/8,2025/2/20,,leadsupport.png
111,株式会社アクアサポート,300,水産,55,水産サポート,2024/4/21,2024/8/10,,,aquasupport.png
112,株式会社クリアサポート,1000,清掃,210,清掃サポート,2024/4/22,2024/4/22,,2025/3/1,clearsupport.png
113,株式会社トータルサポートリンク,200,コンサル,35,コンサルサポート,2024/4/23,2024/8/13,,,totalsupportlink.png
